date,z_300.0,z_400.0,z_500.0,q_300.0,q_400.0,q_500.0,crwc_300.0,crwc_400.0,crwc_500.0,t_300.0,t_400.0,t_500.0,u_300.0,u_400.0,u_500.0,v_300.0,v_400.0,v_500.0,u10,v10,d2m,t2m,sp,z,tp,ssrd,strd,sf
1940-02-08,94659.93,74084.53,57254.42,0.00042717412,0.00046449143,0.004136672,0.0,0.0,0.0,-32.272186,-15.932556,-6.044464,0.17866684,0.5040236,-1.2919374,-0.8940572,3.417985,-1.2510283,0.1722005,0.105278894,2.2088928,4.083893,61726.69,40786.863,0.6666255,2777957.0,4051397.0,2.8684735e-07
1940-02-09,94634.79,74037.05,57219.184,0.00044804157,0.0013507162,0.004022835,0.0,0.0,0.0,-31.990585,-16.111542,-6.2070312,-0.80898315,-0.7685972,-1.5342835,1.327899,-1.2977659,-2.2923012,-0.36870664,-0.43653458,3.2380676,5.073944,61703.953,40786.863,0.8494146,2748940.5,4458998.0,1.998851e-05
1940-02-10,94631.16,74063.21,57260.86,0.00058932684,0.0012880248,0.0037131298,0.0,0.0,0.0,-31.89798,-16.602478,-6.150818,-2.6002629,0.1488225,-0.3647833,-0.6582316,-4.472083,-2.6850998,-0.22117306,-0.14525089,3.0716858,4.832855,61738.387,40786.863,1.2203361,3133778.8,4264239.0,0.0005317068
1940-02-11,94655.79,74083.164,57273.91,0.0004642259,0.001401207,0.00400781,0.0,0.0,0.0,-32.37979,-16.44104,-5.96521,-6.6138053,-0.0028664146,0.17037968,-1.8139306,-2.8575065,-0.49630022,0.24367258,0.4016083,1.2176208,3.787506,61727.453,40786.863,0.64226323,3590843.8,3992679.2,9.8504126e-05
1940-02-12,94705.41,74133.65,57307.13,0.0005589223,0.0015699365,0.0040614745,0.0,0.0,0.0,-31.94223,-16.539917,-5.679016,-7.3194065,-2.2177324,-0.94403505,-0.58949625,-1.3173894,-0.27733293,-0.06643674,0.2557931,2.030304,4.426422,61731.293,40786.863,0.541395,3341340.0,4072036.8,0.0
1940-02-13,94844.01,74217.72,57369.406,0.00062743045,0.0018802568,0.0037667174,0.0,0.0,0.0,-31.057404,-16.129639,-5.2874146,-6.6081357,-3.3837264,-1.9995059,1.5746876,2.051425,-0.8869539,-0.741699,-0.41403162,3.4599915,5.590912,61782.254,40786.863,0.64401954,3510874.5,4488907.0,5.591428e-05
1940-02-14,94809.99,74180.74,57337.52,0.0004995928,0.0018100557,0.0043744226,0.0,0.0,0.0,-31.49025,-15.692291,-5.764679,-4.9234796,-5.256117,-2.6368291,3.0690155,0.83557624,-0.8825393,-0.4394577,-0.21661243,3.5586243,5.207489,61750.984,40786.863,0.894732,3373194.0,4506041.0,5.2564188e-05
1940-02-15,94711.945,74111.97,57293.324,0.00064149225,0.0015877002,0.0039571924,0.0,0.0,0.0,-31.625687,-16.254211,-5.9318237,-5.2841363,-6.8165784,-5.358479,2.8497784,0.5640286,-0.6529027,-0.53673273,-0.2808993,3.7409363,5.149933,61740.33,40786.863,1.3813975,3120472.5,4528052.0,7.529145e-05
1940-02-16,94757.414,74156.44,57340.02,0.0006123755,0.0016614712,0.0039359047,0.0,0.0,0.0,-31.462189,-16.17212,-6.1167603,-3.2854242,-3.9454281,-4.000092,-0.8401246,-2.322446,-1.7232933,-1.1055984,-0.5097672,2.4876404,5.1270447,61770.453,40786.863,0.85830915,3316649.2,4190342.2,1.1299271e-05
1940-02-17,94867.5,74267.97,57431.11,0.00057265366,0.002057589,0.0043181335,0.0,0.0,0.0,-31.730057,-16.074219,-5.788147,1.791273,0.9717837,-0.8566554,-2.3832707,-0.23967533,0.78534555,-0.1661001,-0.22270913,3.2445984,5.042511,61850.18,40786.863,2.1939652,3484737.8,4483308.0,0.000268233
